,Symbol,Series,Face Value(Rs.),Purpose,Ex-Date,Record Date,BC Start Date,BC End Date
1,CORALFINAC,EQ,2, Buy Back,16-Apr-2020,17-Apr-2020,-,-
2,GSKCONS,EQ,10, Merger,16-Apr-2020,17-Apr-2020,-,-
4,KSB,EQ,10, Annual General Meeting/Dividend - Rs 8 Per Share,23-Apr-2020,-,27-Apr-2020,07-May-2020
14,NESTLEIND,EQ,10, Annual General Meeting/Dividend Rs 61 Pr Sh,14-May-2020,-,18-May-2020,19-May-2020
7,RAIN,EQ,2, Annual General Meeting,05-May-2020,-,07-May-2020,12-May-2020
